Sequence #,Timestamp,PGN,Name,Manufacturer,Remote Address,Local Address,Priority,Single Frame,Size,Packet
1949,529848,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1950,529869,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1951,529919,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1952,529940,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1953,529945,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7D7AFF7FFF7FFD
1954,529949,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1955,529969,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1956,530040,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1957,530078,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7E7AFF7FFF7FFD
1958,530082,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1959,530087,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1960,530140,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1961,530153,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7E7AFF7FFF7FFD
1962,530158,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1963,530176,129029,GNSS Position Data,Garmin,3,255,3,0,43,0xFFDF40FEFFFFFFFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7F10FC00FE7FFE7FFEFFFF7F00
1964,530197,129540,GNSS Sats in View,Garmin,3,255,6,0,135,0xFFFF0B10D02493CE9808FFFFFF7FF11D68129638280AFFFFFF7FF11A00000000D007FFFFFF7FF115C431FE3B6C07FFFFFF7FF114D1150A2F3408FFFFFF7FF1160B02F275A406FFFFFF7FF01BB91188BD7805FFFFFF7FF012FF0E9565FC08FFFFFF7FF0052E08DC179CFFFFFFFF7FF0195D01725F9CFFFFFFFF7FF01F450C88909CFFFFFFFF7FF0
1965,530203,129539,GNSS DOPs,Garmin,3,255,6,1,8,0xFFDFFFFFFFFFFFFF
1966,530212,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1967,530215,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1968,530240,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1969,530247,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7E7AFF7FFF7FFD
1970,530251,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1971,530271,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1972,530340,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1973,530386,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7E7AFF7FFF7FFD
1974,530390,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1975,530394,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1976,530419,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1977,530440,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1978,530448,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7E7AFF7FFF7FFD
1979,530452,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1980,530469,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1981,530540,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1982,530549,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7F7AFF7FFF7FFD
1983,530553,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1984,530578,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1985,530640,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1986,530681,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7F7AFF7FFF7FFD
1987,530685,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1988,530689,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1989,530693,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1990,530740,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1991,530750,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7F7AFF7FFF7FFD
1992,530754,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1993,530770,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1994,530840,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
1995,530851,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF7F7AFF7FFF7FFD
1996,530855,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
1997,530869,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
1998,530919,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
1999,530984,126996,Product Information,Garmin,6,255,6,0,134,0x14055F614742533130000000000000000000000000000000000000000000000000000000322E313000000000000000000000000000000000000000000000000000000000312E30000000000000000000000000000000000000000000000000000000000033383532393731363630000000000000000000000000000000000000000000000102
2000,530992,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2001,530996,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF807AFF7FFF7FFD
2002,531000,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2003,531004,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2004,531040,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2005,531052,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF807AFF7FFF7FFD
2006,531056,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2007,531069,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2008,531107,60928,ISO IOP_N2K_ADDR Claim,Garmin,9,255,6,1,8,0xB0A3B61C0082F0C0
2009,531112,60928,ISO IOP_N2K_ADDR Claim,Garmin,6,255,6,1,8,0x8CAEB71C00AAA0C0
2010,531140,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2011,531153,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF817AFF7FFF7FFD
2012,531157,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2013,531162,60928,ISO IOP_N2K_ADDR Claim,Garmin,1,255,6,1,8,0x80AAA41C009650C0
2014,531175,129029,GNSS Position Data,Garmin,3,255,3,0,43,0xFFDF40FEFFFFFFFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7F10FC00FE7FFE7FFEFFFF7F00
2015,531196,129540,GNSS Sats in View,Garmin,3,255,6,0,135,0xFFFF0B10D02493CE9808FFFFFF7FF11D68129638280AFFFFFF7FF11A00000000D007FFFFFF7FF115C431FE3BD007FFFFFF7FF114D1150A2FD007FFFFFF7FF1160B02F275A406FFFFFF7FF01BB91188BD7805FFFFFF7FF012FF0E9565FC08FFFFFF7FF0052E08DC179CFFFFFFFF7FF0195D01725F9CFFFFFFFF7FF01F450C88909CFFFFFFFF7FF0
2016,531294,129539,GNSS DOPs,Garmin,3,255,6,1,8,0xFFDFFFFFFFFFFFFF
2017,531298,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
2018,531302,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2019,531306,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2020,531310,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF817AFF7FFF7FFD
2021,531314,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2022,531318,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2023,531340,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2024,531354,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF817AFF7FFF7FFD
2025,531358,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2026,531369,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2027,531419,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
2028,531440,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2029,531455,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF827AFF7FFF7FFD
2030,531459,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2031,531469,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2032,531529,60928,ISO IOP_N2K_ADDR Claim,Garmin,3,255,6,1,8,0xA411AD1C00BE78C0
2033,531586,60928,ISO IOP_N2K_ADDR Claim,Garmin,6,255,6,1,8,0x8CAEB71C00AAA0C0
2034,531591,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2035,531598,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF827AFF7FFF7FFD
2036,531604,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2037,531608,60928,ISO IOP_N2K_ADDR Claim,Garmin,1,255,6,1,8,0x80AAA41C009650C0
2038,531612,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2039,531640,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2040,531657,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF827AFF7FFF7FFD
2041,531661,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2042,531669,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
2043,531674,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2044,531740,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2045,531757,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF837AFF7FFF7FFD
2046,531761,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2047,531770,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2048,531840,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2049,531883,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF837AFF7FFF7FFD
2050,531887,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2051,531891,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2052,531919,129026,COG & SOG - Rapid Update,Garmin,3,255,2,1,8,0xFFFCFEFFFEFFFFFF
2053,531940,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2054,531959,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF847AFF7FFF7FFD
2055,531963,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2056,531969,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2057,532040,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2058,532059,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF857AFF7FFF7FFD
2059,532063,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2060,532069,129025,Position - Rapid Update,Garmin,3,255,2,1,8,0xFEFFFF7FFEFFFF7F
2061,532140,127508,Battery Status,Garmin,6,255,2,1,8,0x017505FF7FFFFFFF
2062,532191,127250,Vessel Heading,Garmin,1,255,2,1,8,0xFF857AFF7FFF7FFD
2063,532195,127245,Rudder,Garmin,1,255,2,1,8,0x00F8FF7F5FB8FFFF
2064,532199,129029,GNSS Position Data,Garmin,3,255,3,0,43,0xFFDF40FEFFFFFFFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7FFEFFFFFFFFFFFF7F10FC00FE7FFE7FFEFFFF7F00
