Sequence #,Month_Day_Year_Hours_Minutes_Seconds_msTicks,PGN,Processed PGN,Name,Manufacturer,Remote Address,Local Address,Priority,Single Frame,Size,Packet
706,6_21_2015_16_11_35_24952938,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
707,6_21_2015_16_11_35_24952948,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
708,6_21_2015_16_11_35_24953030,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF577AFF7FFF7FFD
709,6_21_2015_16_11_35_24953037,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
710,6_21_2015_16_11_35_24953048,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
711,6_21_2015_16_11_36_24953131,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF587AFF7FFF7FFD
712,6_21_2015_16_11_36_24953140,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
713,6_21_2015_16_11_36_24953148,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
714,6_21_2015_16_11_36_24953232,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF587AFF7FFF7FFD
715,6_21_2015_16_11_36_24953238,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
716,6_21_2015_16_11_36_24953248,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
717,6_21_2015_16_11_36_24953277,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFFFDF40FF7F
718,6_21_2015_16_11_36_24953332,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF587AFF7FFF7FFD
719,6_21_2015_16_11_36_24953339,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
720,6_21_2015_16_11_36_24953348,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
721,6_21_2015_16_11_36_24953433,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF587AFF7FFF7FFD
722,6_21_2015_16_11_36_24953441,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F3BB8FFFF
723,6_21_2015_16_11_36_24953448,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
724,6_21_2015_16_11_36_24953534,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF587AFF7FFF7FFD
725,6_21_2015_16_11_36_24953541,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F3BB8FFFF
726,6_21_2015_16_11_36_24953549,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
727,6_21_2015_16_11_36_24953634,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF587AFF7FFF7FFD
728,6_21_2015_16_11_36_24953640,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
729,6_21_2015_16_11_36_24953648,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
730,6_21_2015_16_11_36_24953735,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF597AFF7FFF7FFD
731,6_21_2015_16_11_36_24953742,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
732,6_21_2015_16_11_36_24953748,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
733,6_21_2015_16_11_36_24953836,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF597AFF7FFF7FFD
734,6_21_2015_16_11_36_24953845,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
735,6_21_2015_16_11_36_24953851,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
736,6_21_2015_16_11_36_24953858,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFFFFFFFFF7FFFFF
737,6_21_2015_16_11_36_24953865,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
738,6_21_2015_16_11_36_24953937,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF597AFF7FFF7FFD
739,6_21_2015_16_11_36_24953944,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
740,6_21_2015_16_11_36_24953949,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
741,6_21_2015_16_11_36_24954037,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5A7AFF7FFF7FFD
742,6_21_2015_16_11_36_24954045,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
743,6_21_2015_16_11_36_24954052,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
744,6_21_2015_16_11_37_24954138,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF597AFF7FFF7FFD
745,6_21_2015_16_11_37_24954145,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
746,6_21_2015_16_11_37_24954153,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
747,6_21_2015_16_11_37_24954239,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5A7AFF7FFF7FFD
748,6_21_2015_16_11_37_24954244,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
749,6_21_2015_16_11_37_24954251,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
750,6_21_2015_16_11_37_24954277,127258,Unprocessed,Magnetic Variation,Unknown Manufacturer,9,255,6,1,6,0xFFFFDF40FF7F
751,6_21_2015_16_11_37_24954339,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5A7AFF7FFF7FFD
752,6_21_2015_16_11_37_24954345,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
753,6_21_2015_16_11_37_24954352,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
754,6_21_2015_16_11_37_24954441,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5B7AFF7FFF7FFD
755,6_21_2015_16_11_37_24954448,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
756,6_21_2015_16_11_37_24954454,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
757,6_21_2015_16_11_37_24954541,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5B7AFF7FFF7FFD
758,6_21_2015_16_11_37_24954549,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
759,6_21_2015_16_11_37_24954556,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
760,6_21_2015_16_11_37_24954642,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5C7AFF7FFF7FFD
761,6_21_2015_16_11_37_24954649,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
762,6_21_2015_16_11_37_24954657,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
763,6_21_2015_16_11_37_24954742,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5C7AFF7FFF7FFD
764,6_21_2015_16_11_37_24954748,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
765,6_21_2015_16_11_37_24954755,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017205FF7FFFFFFF
766,6_21_2015_16_11_37_24954838,129284,Processed,Navigation Data,Unknown Manufacturer,4,255,3,0,34,0xFFFFFFFFFF0FFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFFF7FFFFFFF7FFF7F
767,6_21_2015_16_11_37_24954845,129283,Processed,Cross Track Error,Unknown Manufacturer,4,255,3,1,8,0xFFFFFFFFFF7FFFFF
768,6_21_2015_16_11_37_24954850,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5D7AFF7FFF7FFD
769,6_21_2015_16_11_37_24954858,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
770,6_21_2015_16_11_37_24954866,127508,Processed,Battery Status,Unknown Manufacturer,6,255,2,1,8,0x017505FF7FFFFFFF
771,6_21_2015_16_11_37_24954944,127250,Processed,Vessel Heading,Unknown Manufacturer,1,255,2,1,8,0xFF5D7AFF7FFF7FFD
772,6_21_2015_16_11_37_24954950,127245,Processed,Rudder,Unknown Manufacturer,1,255,2,1,8,0x00F8FF7F5FB8FFFF
