# This sample file was logged from an NMEA 2K bus
# containing a Garmin 17X GPS, a Garmin GMI-10, and 
# an Airmar DST800.  Beginning of this log includes
# the power up sequence of the bus.
#
interface = can0, family = 29, type = 3, proto = 1
<0x19fa0400> [8] 2f 9c ff 00 00 00 00 f0 
<0x19fa0400> [8] 30 18 51 0e 16 22 9c ff 
<0x19fa0400> [8] 31 60 01 00 00 f0 1b 21 
<0x19fa0400> [8] 32 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 33 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 34 d6 9c ff e8 00 00 00 
<0x19fa0400> [8] 35 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 20 2f 06 95 3d 10 f4 c7 
<0x0df80500> [8] 21 29 80 c0 47 e8 b8 c9 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 60 0e ff ff ff ff ff ff 
<0x0df80500> [8] 22 e5 05 00 a1 0e c4 3f 
<0x09f50323> [8] 03 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 07 c0 16 6d ff 7f ff ff 
<0x0df80500> [8] 23 d6 10 f6 7a f2 27 05 
<0x19f51323> [8] 61 04 00 00 00 00 00 00 
<0x19f51323> [8] 62 00 ff ff ff ff ff ff 
<0x0df80500> [8] 24 00 00 00 00 03 fc 02 
<0x0df80500> [8] 25 ff ff ff ff dd f2 ff 
<0x0df80500> [8] 26 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 20 3e e5 98 17 00 04 04 
<0x1defff00> [8] 21 51 59 84 69 51 59 84 
<0x1defff00> [8] 22 69 51 59 84 69 51 59 
<0x1defff00> [8] 23 84 69 51 59 84 69 0a 
<0x1defff01> [8] 40 0b e5 98 de 05 05 05 
<0x1defff01> [8] 41 01 00 05 00 00 ff ff 
<0x1defff00> [8] 24 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 25 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 26 3d 51 59 04 69 51 59 
<0x1defff00> [8] 27 04 69 51 59 04 69 51 
<0x1defff00> [8] 28 59 04 69 0a d7 23 3c 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x1cef0001> [8] e5 98 0a 00 02 02 a4 00 
<0x09f80200> [8] 07 fc 5b 95 00 00 ff ff 
<0x1def0100> [8] 40 2e e5 98 f5 00 02 02 
<0x1def0100> [8] 41 47 50 53 31 37 78 2d 
<0x1def0100> [8] 42 4e 4d 45 41 32 30 30 
<0x1def0100> [8] 43 30 00 00 00 00 00 00 
<0x1def0100> [8] 44 00 00 00 00 00 00 00 
<0x1def0100> [8] 45 00 00 00 00 65 03 01 
<0x1def0100> [8] 46 00 18 01 0e 00 ff ff 
<0x1cef0100> [8] e5 98 06 00 02 02 0a 00 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x1cef0001> [8] e5 98 0a 00 04 04 6d 00 
<0x1cef0100> [7] e5 98 90 00 04 04 01 
<0x1cef0001> [8] e5 98 0a 00 04 04 a4 02 
<0x1cef0100> [8] e5 98 06 00 04 04 0a 00 
<0x1cefff00> [7] e5 98 bb 00 04 04 01 
<0x1cef0100> [8] e5 98 06 00 04 04 0a 00 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80200> [8] 08 fc 5b 95 00 00 ff ff 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x09f80100> [8] 6f 7d 54 19 9d 32 55 d5 
<0x15fd0723> [8] 08 c0 16 6d ff 7f ff ff 
