# This sample file was logged from an NMEA 2K bus
# containing a Garmin 17X GPS, a Garmin GMI-10, and 
# an Airmar DST800.  Beginning of this log includes
# the power up sequence of the bus.
#
interface = can0, family = 29, type = 3, proto = 1
<0x09f80100> [8] b6 7d 54 19 f4 32 55 d5 
<0x09f80200> [8] ea fc 5b 95 01 00 ff ff 
<0x09f80100> [8] b6 7d 54 19 f4 32 55 d5 
<0x09f80100> [8] b6 7d 54 19 f4 32 55 d5 
<0x09f80100> [8] b6 7d 54 19 f4 32 55 d5 
<0x09f80200> [8] eb fc 5b 95 01 00 ff ff 
<0x09f80100> [8] b6 7d 54 19 f4 32 55 d5 
<0x0df01000> [8] ec f0 95 3d f0 f8 ce 29 
<0x19fa0300> [8] ec d3 6e 00 99 00 64 00 
<0x19fa0400> [8] e0 93 ec fd 0c 33 50 2c 
<0x19fa0400> [8] e1 5b 3d 9c ff 00 00 00 
<0x19fa0400> [8] e2 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] e3 2e 0f 00 00 00 00 f2 
<0x19fa0400> [8] e4 12 50 1d f2 66 25 0f 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 00 0e ff ff ff ff ff ff 
<0x19fa0400> [8] e5 dd ff ff ff f2 19 96 
<0x09f50323> [8] 31 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 63 c0 09 6d ff 7f ff ff 
<0x19fa0400> [8] e6 1a f2 57 4b 0e e8 ff 
<0x19f51323> [8] 01 04 00 00 00 00 00 00 
<0x19fa0400> [8] e7 ff ff f2 1f b9 11 c2 
<0x19f51323> [8] 02 00 ff ff ff ff ff ff 
<0x19fa0400> [8] e8 9a 36 0d 13 00 00 00 
<0x19fa0400> [8] e9 f2 0c e8 19 e7 37 af 
<0x19fa0400> [8] ea 0f ff ff ff ff f2 16 
<0x19fa0400> [8] eb 73 32 43 84 51 0f db 
<0x19fa0400> [8] ec ff ff ff f2 18 51 0e 
<0x19fa0400> [8] ed 16 22 5c 09 00 00 00 
<0x19fa0400> [8] ee 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] ef cc 0c d2 ff ff ff f2 
<0x19fa0400> [8] f0 0b 22 06 36 cd 19 0e 
<0x19fa0400> [8] f1 02 00 00 00 f2 1b 21 
<0x19fa0400> [8] f2 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] f3 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] f4 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] f5 f0 ff ff ff ff ff ff 
<0x0df80500> [8] e0 2f ec 95 3d f0 f8 ce 
<0x0df80500> [8] e1 29 c0 95 88 a7 ca c9 
<0x0df80500> [8] e2 e5 05 80 a8 6a 72 53 
<0x0df80500> [8] e3 d6 10 f6 7c 41 75 05 
<0x0df80500> [8] e4 00 00 00 00 13 fc 08 
<0x0df80500> [8] e5 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] e6 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 00 3e e5 98 17 00 04 04 
<0x1defff00> [8] 01 fc 1c 28 41 6c 16 a0 
<0x1defff00> [8] 02 41 46 d0 b4 41 46 d0 
<0x1defff00> [8] 03 b4 41 46 d0 b4 41 0a 
<0x1defff00> [8] 04 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 05 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 06 3d 5b ff 8d 3f ae b6 
<0x1defff00> [8] 07 c4 3f 1d 9c f2 3f 00 
<0x1defff00> [8] 08 00 80 3f 8b ae b9 3e 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80200> [8] ed fc 5b 95 03 00 ff ff 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80200> [8] ee fc 5b 95 03 00 ff ff 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x15fd0723> [8] 64 c0 0c 6d ff 7f ff ff 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80200> [8] ef fc 5b 95 03 00 ff ff 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x09f80200> [8] f0 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] bc 7d 54 19 f2 32 55 d5 
<0x0df01000> [8] f1 f0 95 3d 00 20 cf 29 
<0x19fa0300> [8] f1 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 00 93 f1 fd 0c 33 50 2c 
<0x19fa0400> [8] 01 5b 3d 9c ff 00 00 00 
<0x19fa0400> [8] 02 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 03 66 0f f8 ff ff ff f2 
<0x19fa0400> [8] 04 12 50 1d f2 66 5c 0f 
<0x19fa0400> [8] 05 db ff ff ff f2 19 96 
<0x19fa0400> [8] 06 1a f2 57 74 0e f1 ff 
<0x19fa0400> [8] 07 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 08 9a 5b 0d 12 00 00 00 
<0x19fa0400> [8] 09 f2 0c e8 19 e7 37 f9 
<0x19fa0400> [8] 0a 0f 03 00 00 00 f2 16 
<0x19fa0400> [8] 0b 73 32 43 84 86 0f e0 
<0x19fa0400> [8] 0c ff ff ff f2 18 51 0e 
<0x19fa0400> [8] 0d 16 22 4c 09 00 00 00 
<0x19fa0400> [8] 0e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 0f fb 0c d3 ff ff ff f2 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 20 0e ff ff ff ff ff ff 
<0x09f50323> [8] 32 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 65 c0 0c 6d ff 7f ff ff 
<0x19fa0400> [8] 10 0b 22 06 36 cd 50 0e 
<0x19f51323> [8] 21 04 00 00 00 00 00 00 
<0x19fa0400> [8] 11 f8 ff ff ff f2 1b 21 
<0x19f51323> [8] 22 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 12 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 13 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 14 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 15 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 00 2f f1 95 3d 00 20 cf 
<0x0df80500> [8] 01 29 40 e8 73 3d cc c9 
<0x0df80500> [8] 02 e5 05 00 50 a4 fc 53 
<0x0df80500> [8] 03 d6 10 f6 a7 21 73 05 
<0x0df80500> [8] 04 00 00 00 00 13 fc 08 
<0x0df80500> [8] 05 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 06 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 20 3e e5 98 17 00 04 04 
<0x1defff00> [8] 21 c7 f9 28 41 a4 ec 9e 
<0x1defff00> [8] 22 41 8d fc b3 41 8d fc 
<0x1defff00> [8] 23 b3 41 8d fc b3 41 0a 
<0x1defff00> [8] 24 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 25 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 26 3d de ff 8d 3f dc bc 
<0x1defff00> [8] 27 c4 3f 6c a1 f2 3f 00 
<0x1defff00> [8] 28 00 80 3f b6 94 b2 3e 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80200> [8] f2 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80200> [8] f3 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x15fd0723> [8] 66 c0 09 6d ff 7f ff ff 
<0x09f80200> [8] f4 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x09f80200> [8] f5 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] c2 7d 54 19 f4 32 55 d5 
<0x0df01000> [8] f6 f0 95 3d 10 47 cf 29 
<0x19fa0300> [8] f6 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 20 93 f6 fd 0c 33 50 2c 
<0x19fa0400> [8] 21 5b 3d 9c ff 00 00 00 
<0x19fa0400> [8] 22 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 23 98 0f f0 ff ff ff f2 
<0x19fa0400> [8] 24 12 50 1d f2 66 78 0f 
<0x19fa0400> [8] 25 e0 ff ff ff f2 19 96 
<0x19fa0400> [8] 26 1a f2 57 8d 0e f1 ff 
<0x19fa0400> [8] 27 ff ff f2 1f b9 11 c2 
<0x19fa0400> [8] 28 9a 5d 0d 19 00 00 00 
<0x19fa0400> [8] 29 f2 0c e8 19 e7 37 0f 
<0x19fa0400> [8] 2a 10 06 00 00 00 f2 16 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 40 0e ff ff ff ff ff ff 
<0x19fa0400> [8] 2b 73 32 43 84 ad 0f dd 
<0x09f50323> [8] 33 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 67 c0 09 6d ff 7f ff ff 
<0x19fa0400> [8] 2c ff ff ff f2 18 51 0e 
<0x19f51323> [8] 41 04 00 00 00 00 00 00 
<0x19fa0400> [8] 2d 16 22 30 09 00 00 00 
<0x19f51323> [8] 42 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 2e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 2f 16 0d e0 ff ff ff f2 
<0x19fa0400> [8] 30 0b 22 06 36 cd 7a 0e 
<0x19fa0400> [8] 31 f5 ff ff ff f2 1b 21 
<0x19fa0400> [8] 32 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 33 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 34 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 35 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 20 2f f6 95 3d 10 47 cf 
<0x0df80500> [8] 21 29 c0 ed bd 64 ce c9 
<0x0df80500> [8] 22 e5 05 80 ec 0b 4d 55 
<0x0df80500> [8] 23 d6 10 f6 74 29 70 05 
<0x0df80500> [8] 24 00 00 00 00 13 fc 08 
<0x0df80500> [8] 25 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 26 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 40 3e e5 98 17 00 04 04 
<0x1defff00> [8] 41 e8 bd 29 41 16 4f 9d 
<0x1defff00> [8] 42 41 4a be b2 41 4a be 
<0x1defff00> [8] 43 b2 41 4a be b2 41 0a 
<0x1defff00> [8] 44 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 45 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 46 3d 61 00 8e 3f 09 c3 
<0x1defff00> [8] 47 c4 3f bb a6 f2 3f 00 
<0x1defff00> [8] 48 00 80 3f 70 f9 9b 3e 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80200> [8] f7 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80200> [8] f8 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x15fd0723> [8] 68 c0 09 6d ff 7f ff ff 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80200> [8] f9 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x09f80200> [8] 00 fc 5b 95 01 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 fa 32 55 d5 
<0x0df01000> [8] 01 f0 95 3d 20 6e cf 29 
<0x19fa0300> [8] 01 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 40 93 01 fd 0c 33 50 2c 
<0x19fa0400> [8] 41 5b 3d 9c ff 00 00 00 
<0x19fa0400> [8] 42 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 43 75 0f e5 ff ff ff f2 
<0x19fa0400> [8] 44 12 50 1d f2 66 f7 0e 
<0x19fa0400> [8] 45 f8 ff ff ff f2 19 96 
<0x19fa0400> [8] 46 1a f2 57 8d 0e 02 00 
<0x19fa0400> [8] 47 00 00 f2 1f b9 11 c2 
<0x19fa0400> [8] 48 9a 46 0d 37 00 00 00 
<0x19fa0400> [8] 49 f2 0c e8 19 e7 37 f7 
<0x19fa0400> [8] 4a 0f 15 00 00 00 f2 16 
<0x19fa0400> [8] 4b 73 32 43 84 76 0f e4 
<0x19fa0400> [8] 4c ff ff ff f2 18 51 0e 
<0x19fa0400> [8] 4d 16 22 20 09 00 00 00 
<0x19fa0400> [8] 4e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 4f 12 0d f7 ff ff ff f2 
<0x19fa0400> [8] 50 0b 22 06 36 cd 24 0e 
<0x19fa0400> [8] 51 ff ff ff ff f2 1b 21 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 60 0e ff ff ff ff ff ff 
<0x09f50323> [8] 34 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 69 c0 09 6d ff 7f ff ff 
<0x19fa0400> [8] 52 33 5c 1f 9c ff 00 00 
<0x19f51323> [8] 61 04 00 00 00 00 00 00 
<0x19fa0400> [8] 53 00 00 f0 20 0b 02 c1 
<0x19f51323> [8] 62 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 54 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 55 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 40 2f 01 95 3d 20 6e cf 
<0x0df80500> [8] 41 29 00 ca 5f 9d ce c9 
<0x0df80500> [8] 42 e5 05 00 3f bc 74 57 
<0x0df80500> [8] 43 d6 10 f6 d9 11 6e 05 
<0x0df80500> [8] 44 00 00 00 00 13 fc 08 
<0x0df80500> [8] 45 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 46 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 60 3e e5 98 17 00 04 04 
<0x1defff00> [8] 61 37 78 2a 41 ff c5 9c 
<0x1defff00> [8] 62 41 1b 72 b2 41 1b 72 
<0x1defff00> [8] 63 b2 41 1b 72 b2 41 0a 
<0x1defff00> [8] 64 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 65 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 66 3d e4 00 8e 3f 35 c9 
<0x1defff00> [8] 67 c4 3f 09 ac f2 3f 00 
<0x1defff00> [8] 68 00 80 3f 38 63 b9 3e 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80200> [8] 02 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80200> [8] 03 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x15fd0723> [8] 6a c0 08 6d ff 7f ff ff 
<0x09f80200> [8] 04 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x09f80200> [8] 05 fc 5b 95 03 00 ff ff 
<0x09f80100> [8] cd 7d 54 19 03 33 55 d5 
<0x0df01000> [8] 06 f0 95 3d 30 95 cf 29 
<0x19fa0300> [8] 06 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 60 93 06 fd 0c 33 50 2c 
<0x19fa0400> [8] 61 5b 3d 9c ff 00 00 00 
<0x19fa0400> [8] 62 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 63 9d 0f e0 ff ff ff f2 
<0x19fa0400> [8] 64 12 50 1d f2 66 29 0f 
<0x19fa0400> [8] 65 fa ff ff ff f2 19 96 
<0x19fa0400> [8] 66 1a f2 57 a3 0e 16 00 
<0x19fa0400> [8] 67 00 00 f2 1f b9 11 c2 
<0x19fa0400> [8] 68 9a 3b 0d 4a 00 00 00 
<0x19fa0400> [8] 69 f2 0c e8 19 e7 37 18 
<0x19fa0400> [8] 6a 10 1c 00 00 00 f2 16 
<0x19fa0400> [8] 6b 73 32 43 84 9e 0f db 
<0x19fa0400> [8] 6c ff ff ff f2 18 51 0e 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] 80 0e ff ff ff ff ff ff 
<0x19fa0400> [8] 6d 16 22 f2 08 00 00 00 
<0x09f50323> [8] 35 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 6b c0 08 6d ff 7f ff ff 
<0x19fa0400> [8] 6e 00 f1 01 d1 06 36 dc 
<0x19f51323> [8] 81 04 00 00 00 00 00 00 
<0x19fa0400> [8] 6f 2c 0d f9 ff ff ff f2 
<0x19f51323> [8] 82 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 70 0b 22 06 36 cd 5a 0e 
<0x19fa0400> [8] 71 fe ff ff ff f2 1b 21 
<0x19fa0400> [8] 72 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 73 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 74 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 75 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 60 2f 06 95 3d 30 95 cf 
<0x0df80500> [8] 61 29 c0 13 a8 f1 ce c9 
<0x0df80500> [8] 62 e5 05 80 b4 f5 6f 5b 
<0x0df80500> [8] 63 d6 10 f6 5b d6 69 05 
<0x0df80500> [8] 64 00 00 00 00 13 fc 08 
<0x0df80500> [8] 65 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 66 ff 00 ff ff ff ff ff 
<0x1defff00> [8] 80 3e e5 98 17 00 04 04 
<0x1defff00> [8] 81 ec 21 2b 41 6b 42 9b 
<0x1defff00> [8] 82 41 df 46 b1 41 df 46 
<0x1defff00> [8] 83 b1 41 df 46 b1 41 0a 
<0x1defff00> [8] 84 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] 85 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] 86 3d 67 01 8e 3f 60 cf 
<0x1defff00> [8] 87 c4 3f 56 b1 f2 3f 00 
<0x1defff00> [8] 88 00 80 3f d3 58 a8 3e 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80200> [8] 07 fc 5b 95 06 00 ff ff 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80200> [8] 08 fc 5b 95 06 00 ff ff 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x15fd0723> [8] 6c c0 09 6d ff 7f ff ff 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80200> [8] 09 fc 5b 95 06 00 ff ff 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x09f80200> [8] 0a fc 5b 95 06 00 ff ff 
<0x09f80100> [8] ce 7d 54 19 14 33 55 d5 
<0x0df01000> [8] 0b f0 95 3d 40 bc cf 29 
<0x19fa0300> [8] 0b d3 6e 00 99 00 64 00 
<0x19fa0400> [8] 80 93 0b fd 0c 33 50 2c 
<0x19fa0400> [8] 81 5b 3d 9c ff 00 00 00 
<0x19fa0400> [8] 82 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] 83 be 0f e8 ff ff ff f2 
<0x19fa0400> [8] 84 12 50 1d f2 66 49 0f 
<0x19fa0400> [8] 85 fa ff ff ff f2 19 96 
<0x19fa0400> [8] 86 1a f2 57 ad 0e 1d 00 
<0x19fa0400> [8] 87 00 00 f2 1f b9 11 c2 
<0x19fa0400> [8] 88 9a 35 0d 4a 00 00 00 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] a0 0e ff ff ff ff ff ff 
<0x09f50323> [8] 36 00 00 ff ff 00 ff ff 
<0x19fa0400> [8] 89 f2 0c e8 19 e7 37 1a 
<0x15fd0723> [8] 6d c0 09 6d ff 7f ff ff 
<0x19f51323> [8] a1 04 00 00 00 00 00 00 
<0x19fa0400> [8] 8a 10 1d 00 00 00 f2 16 
<0x19f51323> [8] a2 00 ff ff ff ff ff ff 
<0x19fa0400> [8] 8b 73 32 43 84 b4 0f e6 
<0x19fa0400> [8] 8c ff ff ff f2 18 51 0e 
<0x19fa0400> [8] 8d 16 22 b6 08 00 00 00 
<0x19fa0400> [8] 8e 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] 8f 24 0d 01 00 00 00 f2 
<0x19fa0400> [8] 90 0b 22 06 36 cd 7e 0e 
<0x19fa0400> [8] 91 fa ff ff ff f2 1b 21 
<0x19fa0400> [8] 92 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] 93 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] 94 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] 95 f0 ff ff ff ff ff ff 
<0x0df80500> [8] 80 2f 0b 95 3d 40 bc cf 
<0x0df80500> [8] 81 29 00 6e f1 8a ce c9 
<0x0df80500> [8] 82 e5 05 00 75 d4 59 5f 
<0x0df80500> [8] 83 d6 10 f6 b5 c4 66 05 
<0x0df80500> [8] 84 00 00 00 00 13 fc 08 
<0x0df80500> [8] 85 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] 86 ff 00 ff ff ff ff ff 
<0x1defff00> [8] a0 3e e5 98 17 00 04 04 
<0x1defff00> [8] a1 6f b9 2b 41 40 d9 99 
<0x1defff00> [8] a2 41 c4 2f b0 41 c4 2f 
<0x1defff00> [8] a3 b0 41 c4 2f b0 41 0a 
<0x1defff00> [8] a4 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] a5 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] a6 3d e9 01 8e 3f 8b d5 
<0x1defff00> [8] a7 c4 3f a3 b6 f2 3f 00 
<0x1defff00> [8] a8 00 80 3f f0 33 a6 3e 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80200> [8] 0c fc 5b 95 02 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80200> [8] 0d fc 5b 95 02 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x15fd0723> [8] 6e c0 09 6d ff 7f ff ff 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80200> [8] 0e fc 5b 95 02 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x09f80200> [8] 0f fc 5b 95 02 00 ff ff 
<0x09f80100> [8] cc 7d 54 19 25 33 55 d5 
<0x0df01000> [8] 10 f0 95 3d 50 e3 cf 29 
<0x19fa0300> [8] 10 d3 6e 00 99 00 64 00 
<0x19fa0400> [8] a0 93 10 fd 0c 33 50 2c 
<0x19fa0400> [8] a1 5b 3d 9c ff 00 00 00 
<0x19fa0400> [8] a2 00 f0 0e 5c 2e 93 dd 
<0x19fa0400> [8] a3 da 0f e9 ff ff ff f2 
<0x0df50b23> [8] ff ff ff ff ff 00 00 ff 
<0x19f51323> [8] c0 0e ff ff ff ff ff ff 
<0x09f50323> [8] 37 00 00 ff ff 00 ff ff 
<0x15fd0723> [8] 6f c0 09 6d ff 7f ff ff 
<0x19fa0400> [8] a4 12 50 1d f2 66 4d 0f 
<0x19f51323> [8] c1 04 00 00 00 00 00 00 
<0x19fa0400> [8] a5 00 00 00 00 f2 19 96 
<0x19f51323> [8] c2 00 ff ff ff ff ff ff 
<0x19fa0400> [8] a6 1a f2 57 b3 0e 1c 00 
<0x19fa0400> [8] a7 00 00 f2 1f b9 11 c2 
<0x19fa0400> [8] a8 9a 35 0d 56 00 00 00 
<0x19fa0400> [8] a9 f2 0c e8 19 e7 37 13 
<0x19fa0400> [8] aa 10 13 00 00 00 f2 16 
<0x19fa0400> [8] ab 73 32 43 84 c6 0f e8 
<0x19fa0400> [8] ac ff ff ff f2 18 51 0e 
<0x19fa0400> [8] ad 16 22 3e 08 00 00 00 
<0x19fa0400> [8] ae 00 f1 01 d1 06 36 dc 
<0x19fa0400> [8] af 09 0d 05 00 00 00 f2 
<0x19fa0400> [8] b0 0b 22 06 36 cd 85 0e 
<0x19fa0400> [8] b1 ff ff ff ff f2 1b 21 
<0x19fa0400> [8] b2 33 5c 1f 9c ff 00 00 
<0x19fa0400> [8] b3 00 00 f0 20 0b 02 c1 
<0x19fa0400> [8] b4 d6 9c ff 00 00 00 00 
<0x19fa0400> [8] b5 f0 ff ff ff ff ff ff 
<0x0df80500> [8] a0 2f 10 95 3d 50 e3 cf 
<0x0df80500> [8] a1 29 00 68 c0 c1 cc c9 
<0x0df80500> [8] a2 e5 05 00 3c 72 a2 61 
<0x0df80500> [8] a3 d6 10 f6 10 b8 63 05 
<0x0df80500> [8] a4 00 00 00 00 13 fc 08 
<0x0df80500> [8] a5 6e 00 bd 00 dd f2 ff 
<0x0df80500> [8] a6 ff 00 ff ff ff ff ff 
<0x1defff00> [8] c0 3e e5 98 17 00 04 04 
<0x1defff00> [8] c1 c3 41 2c 41 90 95 98 
<0x1defff00> [8] c2 41 dd 36 af 41 dd 36 
<0x1defff00> [8] c3 af 41 dd 36 af 41 0a 
<0x1defff00> [8] c4 d7 a3 3c cd cc cc 3d 
<0x1defff00> [8] c5 0a d7 a3 3c cd cc cc 
<0x1defff00> [8] c6 3d 6c 02 8e 3f b5 db 
<0x1defff00> [8] c7 c4 3f ef bb f2 3f 00 
<0x1defff00> [8] c8 00 80 3f 39 84 a7 3e 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80200> [8] 11 fc 5b 95 04 00 ff ff 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80200> [8] 12 fc 5b 95 04 00 ff ff 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x15fd0723> [8] 70 c0 06 6d ff 7f ff ff 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80200> [8] 13 fc 5b 95 04 00 ff ff 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80100> [8] c5 7d 54 19 2f 33 55 d5 
<0x09f80200> [8] 14 fc 5b 95 04 00 ff ff 
